assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,232223,None,,0,0,0,0,0.0,489,45,None,,0,4,1.5,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Folarin,0.0,226,7,0,0,0,0.0,492,47,1,False,0.0,490,45,0,,None,45,403,61,0,0,None,0,,232223.jpg,0.0,494,47,0,0,0,Balogun,2.0,117,22,False,None,0,0,a,1,3,0.0,480,47,0,0,0,0,0,0.0,0.0,Balogun,0
0,0,56,None,None,0,0.0,58822,None,,0,0,0,0,51.4,282,100,None,,0,2,1.5,None,0,0.19,0.08,0.25,0.1,0.06,2.83,1.14,0.02,Cédric,0.0,9,3,3,1.21,0,11.9,329,121,2,False,56.4,328,125,223,,None,40,493,141,0,0,None,0,,58822.jpg,1.2,343,123,0,0,0.0,Alves Soares,0.4,278,95,False,None,2,0.81,a,1,3,10.0,323,124,10,0,0,0,0,0.0,2.5,Cédric,0
0,0,27,None,None,0,0.0,153256,None,,0,0,0,0,5.4,341,167,None,,0,3,1.5,None,0,0.04,0.03,0.04,0.03,0.00,1.29,1.05,0.0,Mohamed,0.0,155,9,2,1.62,0,1.1,370,170,3,False,4.6,371,171,111,,None,45,332,190,0,0,None,0,,153256.jpg,1.2,345,154,0,0,0.0,Elneny,0.2,389,120,False,None,1,0.81,a,1,3,0.0,456,180,6,0,0,0,0,0.0,1.3,M.Elneny,0
2,2,134,None,None,2,0.36,438098,None,,0,0,0,0,180.6,160,102,None,,0,3,2.5,None,0,1.39,0.25,2.25,0.4,0.86,5.28,0.95,0.15,Fábio,0.0,500,198,5,0.9,1,41.5,257,121,4,False,116.0,288,126,500,,None,55,131,85,0,0,None,0,,438098.jpg,1.8,286,123,0,0,0.0,Ferreira Vieira,0.1,463,148,False,None,3,0.54,a,1,3,123.0,195,111,40,0,0,0,0,0.0,7.3,Fábio Vieira,0
0,15,723,None,None,14,0.37,226597,None,,0,0,0,0,131.4,193,53,None,,0,2,2.8,None,0,0.66,0.02,5.70,0.15,5.04,41.84,1.1,0.13,Gabriel,0.0,407,182,43,1.14,3,127.7,75,9,5,False,743.8,31,6,3409,,None,50,238,30,0,0,None,0,,226597.jpg,3.8,65,14,0,0,0.0,dos Santos Magalhães,17.2,21,9,False,None,38,1.0,a,1,3,401.0,78,3,146,0,0,0,0,0.0,29.2,Gabriel,5
1,13,301,None,None,9,0.32,219847,None,,0,0,0,0,536.6,48,40,None,,0,3,3.1,None,0,2.75,0.1,14.33,0.51,11.58,38.25,1.34,0.41,Kai,0.0,565,238,31,1.09,7,202.5,27,20,6,False,476.4,110,51,2565,,None,75,24,14,0,0,None,0,,219847.jpg,2.9,156,64,0,0,0.0,Havertz,6.3,57,18,False,None,30,1.05,a,1,3,1014.0,15,6,102,0,0,0,0,0.0,13.6,Havertz,5
0,0,120,None,None,0,0.0,156074,None,,0,0,0,0,10.3,334,124,None,,0,2,2.5,None,0,0.15,0.02,0.47,0.07,0.32,11.14,1.78,0.05,Rob,0.0,157,94,13,2.08,1,21.6,305,112,7,False,152.0,267,106,562,,None,45,334,69,0,0,None,0,,156074.jpg,1.5,309,115,0,0,0.0,Holding,0.2,378,143,False,None,6,0.96,a,1,3,54.0,268,99,21,0,0,0,0,0.0,4.7,Holding,0
7,17,401,None,None,9,0.39,205651,None,,0,0,0,0,427.8,63,2,None,,0,4,3.0,None,0,2.91,0.13,17.15,0.75,14.24,23.15,1.01,0.62,Gabriel,0.0,574,71,23,1.0,11,241.9,17,5,8,False,660.6,55,6,2064,,None,80,15,6,0,0,2,0,,205651.jpg,4.8,14,5,0,0,0.0,Fernando de Jesus,32.1,9,2,False,None,24,1.05,a,1,3,1331.0,5,3,125,0,0,0,0,0.0,15.6,G.Jesus,6
2,5,379,None,None,9,0.38,85955,None,,0,0,0,0,261.4,120,83,None,,0,3,2.5,None,0,0.96,0.04,2.85,0.12,1.89,24.41,1.03,0.08,Jorge Luiz,0.0,450,163,23,0.97,2,76.1,164,91,9,False,400.4,146,63,2127,,None,55,81,50,0,0,None,0,,85955.jpg,2.5,197,77,0,0,0.0,Frello Filho,0.3,293,95,False,None,24,1.02,a,1,3,98.0,221,120,79,0,0,0,0,0.0,14.4,Jorginho,4
0,1,111,None,None,2,0.42,440854,None,,0,0,0,0,17.9,319,119,None,,0,2,2.5,None,0,0.01,0.0,0.11,0.02,0.10,6.46,1.37,0.02,Jakub,0.0,260,152,6,1.27,1,13.9,323,119,10,False,98.6,295,114,425,,None,45,437,127,0,0,None,0,,440854.jpg,3.7,71,17,0,0,0.0,Kiwior,0.2,399,157,False,None,5,1.06,a,1,3,21.0,312,117,26,0,0,0,0,0.0,5.8,Kiwior,0
