id,xP
1,0.0
2,1.0
3,2.0
4,2.2
5,2.2
6,2.5
8,0.4
9,2.5
10,2.8
11,0.0
12,3.2
13,4.5
14,1.1
15,0.0
16,0.0
17,1.0
18,0.0
19,4.1
20,5.8
22,0.7
24,0.0
25,4.0
26,6.2
29,3.0
30,0.0
31,5.8
113,4.2
540,5.8
578,1.5
585,0.0
646,1.0
735,2.2
736,2.3
737,2.2
32,0.0
34,3.8
35,0.0
36,2.2
37,0.0
38,0.0
39,0.0
40,0.5
41,0.4
42,1.8
43,6.5
44,0.0
45,0.0
46,0.0
47,1.8
48,2.5
49,1.8
50,5.5
51,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,2.0
59,0.2
60,5.0
61,0.0
584,1.8
599,5.8
618,0.0
670,0.0
672,0.8
686,0.0
699,0.0
62,0.0
63,3.3
64,-0.3
65,1.5
66,-0.5
67,0.0
68,0.0
69,0.0
70,1.7
71,-0.5
72,0.5
73,0.0
74,0.0
75,0.0
76,-0.3
77,1.7
78,0.0
79,0.0
80,-0.1
81,0.5
82,2.5
83,1.0
84,0.0
85,5.5
86,1.7
87,-0.5
88,0.0
89,1.3
595,0.0
607,0.0
619,-0.5
643,2.3
644,0.0
673,0.0
705,1.3
90,2.5
91,-0.5
92,-0.2
93,0.0
94,0.0
95,0.0
96,5.3
97,0.0
98,0.0
99,0.0
100,0.0
101,3.3
102,-0.5
103,0.0
104,0.0
105,1.5
106,2.5
107,0.0
108,8.0
109,0.0
110,1.5
111,1.5
112,5.5
114,1.7
115,0.0
116,-0.3
117,0.0
118,0.0
119,3.0
120,0.5
121,-0.5
258,3.7
620,-0.3
684,-0.5
701,1.3
725,-0.5
733,-0.5
122,3.5
123,0.0
124,0.0
125,1.7
127,0.0
128,1.0
129,0.4
130,0.0
131,0.1
132,3.5
133,2.0
134,3.5
135,1.7
136,0.0
137,0.0
138,1.3
139,0.0
140,0.0
141,0.5
142,0.3
143,3.3
144,0.1
146,0.0
147,0.0
148,2.3
149,0.0
150,2.0
151,1.7
152,1.7
153,1.0
154,0.0
155,0.0
606,1.7
621,0.5
690,1.5
700,3.5
156,-1.0
157,-0.8
158,0.0
159,-0.2
160,-0.2
161,2.0
162,-1.0
163,-1.0
164,0.0
165,-0.8
166,-1.0
167,-0.5
168,-0.1
169,-1.0
170,0.2
171,0.0
172,-1.0
173,1.0
174,-0.4
175,0.0
176,-1.5
177,0.2
178,1.2
179,0.0
180,0.0
181,-1.0
182,-0.2
183,0.0
184,-0.5
475,0.5
594,0.8
596,1.0
600,-0.2
605,0.8
608,0.0
622,0.0
660,-0.2
674,-0.8
675,-0.2
694,-1.0
706,0.0
126,0.5
145,0.8
185,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,-1.0
192,-1.0
193,-0.8
194,0.0
195,0.0
196,0.0
197,-0.5
198,-0.5
199,0.8
200,0.0
201,0.0
202,3.5
203,-0.8
206,0.8
207,0.0
208,-0.2
210,2.5
211,4.0
212,0.0
213,0.0
214,-1.0
215,0.0
216,2.8
217,1.2
218,0.0
362,4.0
589,0.0
609,-0.8
611,0.0
613,-0.8
623,0.0
659,-1.0
667,0.0
671,0.0
677,-0.8
680,-1.0
681,0.0
687,-1.0
716,-1.0
717,-1.0
718,-1.0
723,-1.0
7,0.0
219,0.8
220,2.2
221,3.8
222,0.5
223,1.2
224,0.0
225,2.5
226,2.5
227,0.0
228,1.8
229,2.2
230,3.0
231,3.5
232,0.8
233,0.0
234,4.0
235,0.0
236,0.2
237,0.0
238,0.2
239,0.0
240,3.0
241,0.0
242,1.5
243,0.0
385,0.0
615,0.5
657,0.0
658,0.0
720,0.0
721,0.2
724,0.0
244,0.0
245,2.1
246,3.8
247,0.0
248,0.0
249,3.2
250,2.0
251,0.0
252,0.0
253,0.0
254,2.2
255,0.0
257,0.0
259,2.0
260,7.5
261,0.9
262,2.0
263,2.8
264,0.0
265,2.0
266,0.0
579,0.0
588,-0.5
601,0.2
624,0.0
645,0.5
649,0.0
650,0.0
661,3.5
691,0.8
719,0.0
256,1.5
267,1.8
268,1.0
269,0.0
270,1.2
271,0.0
272,0.0
273,0.0
274,0.0
275,2.5
276,1.0
277,0.0
278,0.0
279,0.0
280,3.5
281,1.5
282,0.5
283,1.0
284,0.0
285,0.0
286,0.0
287,0.5
288,1.8
558,2.0
591,2.2
610,1.5
625,0.0
651,0.0
652,0.0
662,0.2
683,0.0
688,1.5
692,0.0
707,0.0
732,0.0
289,0.5
290,5.3
291,7.5
292,0.0
293,5.7
294,5.5
295,2.3
296,0.0
297,1.5
298,2.7
299,0.0
300,0.0
301,0.5
302,3.7
303,3.7
304,0.0
305,2.0
306,0.0
307,0.0
308,10.3
309,5.7
310,0.0
311,6.7
312,0.0
313,4.7
626,0.7
627,0.5
628,0.5
629,0.7
668,1.5
708,1.0
726,0.5
728,0.5
21,0.0
52,0.8
314,1.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,-0.8
321,0.2
322,0.0
323,0.0
324,0.0
325,0.0
326,1.0
327,0.0
328,2.5
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,-1.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
393,0.5
553,-0.5
575,0.5
582,0.0
586,1.5
602,1.5
614,1.8
630,0.8
631,0.0
648,0.0
665,-1.0
682,-1.0
727,1.5
729,-1.0
734,-1.0
341,4.2
342,3.5
343,4.5
344,7.8
345,2.0
346,0.0
347,1.0
348,0.0
349,0.0
350,2.8
352,3.5
353,5.0
354,1.8
355,8.5
356,1.8
357,0.0
358,1.2
